FileName,GCPLocation
TUV_Flight_M1_F1.3\M1_F1.3_0402.JPG,"[[721.4228548467461, 252.04009341596282]]"
TUV_Flight_M1_F1.3\M1_F1.3_0403.JPG,"[[704.4642079038748, 655.56671594847]]"
TUV_Flight_M1_F1.3\M1_F1.3_0404.JPG,"[[684.9581536643873, 1065.7316003803392]]"
TUV_Flight_M1_F1.3\M1_F1.3_0405.JPG,"[[664.3215416922897, 1486.2287261023178]]"
TUV_Flight_M1_F1.3\M1_F1.3_0406.JPG,"[[648.0009406268432, 1907.9962121234441]]"
TUV_Flight_M1_F1.3\M1_F1.3_0407.JPG,"[[633.8990872070165, 2339.0637155008794]]"
TUV_Flight_M1_F1.3\M1_F1.3_0408.JPG,"[[625.4728358915672, 2786.5173383491406]]"
TUV_Flight_M1_F1.3\M1_F1.3_0426.JPG,"[[2136.9490982246843, 405.0045577681861]]"
TUV_Flight_M1_F1.3\M1_F1.3_0427.JPG,"[[2133.1756375824625, 810.819264192166]]"
TUV_Flight_M1_F1.3\M1_F1.3_0428.JPG,"[[2129.358431894121, 1230.6276037965329]]"
TUV_Flight_M1_F1.3\M1_F1.3_0429.JPG,"[[2119.8668041069864, 1643.2107130087516]]"
TUV_Flight_M1_F1.3\M1_F1.3_0430.JPG,"[[2103.760739295174, 2066.9467854913237]]"
TUV_Flight_M1_F1.3\M1_F1.3_0431.JPG,"[[2089.1120668421922, 2486.7911430365907]]"
TUV_Flight_M1_F1.3\M1_F1.3_0432.JPG,"[[2067.84553580918, 2927.186941524264]]"
TUV_Flight_M1_F1.3\M1_F1.3_0458.JPG,"[[2971.430534154526, 309.5995296913926]]"
TUV_Flight_M1_F1.3\M1_F1.3_0459.JPG,"[[2962.2968975858043, 720.6453725791202]]"
TUV_Flight_M1_F1.3\M1_F1.3_0460.JPG,"[[2962.49137374448, 1136.2657037875156]]"
TUV_Flight_M1_F1.3\M1_F1.3_0461.JPG,"[[2963.5133709632046, 1551.98818976519]]"
TUV_Flight_M1_F1.3\M1_F1.3_0462.JPG,"[[2970.315316494529, 1980.0574675215194]]"
TUV_Flight_M1_F1.3\M1_F1.3_0463.JPG,"[[2977.676191338294, 2408.82351048085]]"
TUV_Flight_M1_F1.3\M1_F1.3_0464.JPG,"[[2979.5093581110914, 2852.0093340792473]]"
